3,"[Orange Juice, Opera Cake, Cheese Croissant]","[Apricot Danish, Cherry Tart]"
5,"[Cherry Tart, Orange Juice, Chocolate Eclair]","[Opera Cake, Apricot Danish, Cheese Croissant]"
9,"[Cherry Tart, Vanilla Meringue, Apricot Danish, Raspberry Cookie, Apple Danish]","[Green Tea, Raspberry Lemonade, Lemon Cookie, Lemon Lemonade, Opera Cake, Apple Tart, Cherry Soda, Apple Croissant]"
15,"[Almond Twist, Blackberry Tart, Green Tea]","[Single Espresso, Coffee Eclair, Apple Pie, Hot Coffee, Raspberry Lemonade, Lemon Cookie, Raspberry Cookie, Lemon Lemonade]"
17,"[Vanilla Frappuccino, Chocolate Tart]",[Walnut Cookie]
19,"[Blueberry Tart, Blueberry Danish]","[Hot Coffee, Apricot Croissant]"
20,"[Orange Juice, Apricot Tart]",[Cheese Croissant]
35,"[Apple Croissant, Cherry Soda, Apple Danish, Apple Tart]",[]
37,"[Almond Twist, Almond Tart, Ganache Cookie, Truffle Cake, Chocolate Croissant, Cherry Soda]","[Gongolais Cookie, Apple Croissant, Apple Tart, Apple Danish, Apple Pie, Hot Coffee, Coffee Eclair]"
40,"[Coffee Eclair, Blackberry Tart, Single Espresso, Lemon Lemonade]","[Green Tea, Raspberry Cookie, Raspberry Lemonade, Lemon Cookie, Apple Pie, Almond Twist]"
41,"[Cherry Tart, Ganache Cookie, Apricot Danish, Lemon Tart]","[Lemon Cake, Opera Cake]"
43,"[Berry Tart, Apricot Tart, Marzipan Cookie]","[Tuile Cookie, Bottled Water]"
48,"[Casino Cake, Chocolate Coffee, Chocolate Cake]",[]
54,"[Cherry Tart, Opera Cake, Apricot Danish]",[]
57,"[Bottled Water, Berry Tart, Cheese Croissant]",[Orange Juice]
61,"[Almond Twist, Casino Cake]","[Apple Pie, Hot Coffee, Coffee Eclair, Chocolate Coffee, Chocolate Cake]"
64,"[Lemon Cake, Lemon Tart]",[]
72,[Apple Croissant],"[Cherry Soda, Apple Tart, Apple Danish]"
